Flight Number,Origin,Destination,Departure Datetime,Arrival Datetime,Elapsed Minutes,Cheapest Price,Search URL,Error Status,Equipment
B6 66,ABQ,JFK,09/16/2025 11:59pm,09/16/2025 6:16am,257,$109,https://www.jetblue.com/booking/cb-flights?from=ABQ&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1151,ACK,BOS,09/16/2025 5:30pm,09/16/2025 6:46pm,76,$74,https://www.jetblue.com/booking/cb-flights?from=ACK&to=BOS&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2493,ACK,DCA,09/16/2025 12:30pm,09/16/2025 2:02pm,92,$169,https://www.jetblue.com/booking/cb-flights?from=ACK&to=DCA&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2665,ACK,HPN,09/16/2025 2:16pm,09/16/2025 3:20pm,64,$104,https://www.jetblue.com/booking/cb-flights?from=ACK&to=HPN&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 92,ACK,JFK,09/16/2025 3:42pm,09/16/2025 5:00pm,78,$139,https://www.jetblue.com/booking/cb-flights?from=ACK&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 87,ALB,FLL,09/16/2025 7:00am,09/16/2025 10:16am,196,$84,https://www.jetblue.com/booking/cb-flights?from=ALB&to=FLL&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 32,AMS,BOS,09/16/2025 11:20am,09/16/2025 1:35pm,495,$707,https://www.jetblue.com/booking/cb-flights?from=AMS&to=BOS&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2289,AMS,JFK,09/16/2025 1:40pm,09/16/2025 4:09pm,509,$707,https://www.jetblue.com/booking/cb-flights?from=AMS&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1096,ATL,BOS,09/16/2025 8:45am,09/16/2025 11:23am,158,$84,https://www.jetblue.com/booking/cb-flights?from=ATL&to=BOS&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 896,ATL,BOS,09/16/2025 12:32pm,09/16/2025 3:45pm,193,$139,https://www.jetblue.com/booking/cb-flights?from=ATL&to=BOS&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 320,ATL,JFK,09/16/2025 7:45am,09/16/2025 9:59am,134,$65,https://www.jetblue.com/booking/cb-flights?from=ATL&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 920,ATL,JFK,09/16/2025 1:49pm,09/16/2025 3:59pm,130,$65,https://www.jetblue.com/booking/cb-flights?from=ATL&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 520,ATL,JFK,09/16/2025 7:15pm,09/16/2025 9:40pm,145,$65,https://www.jetblue.com/booking/cb-flights?from=ATL&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 574,AUA,BOS,09/16/2025 2:20pm,09/16/2025 7:32pm,312,$279,https://www.jetblue.com/booking/cb-flights?from=AUA&to=BOS&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1058,AUA,JFK,09/16/2025 1:20pm,09/16/2025 6:00pm,280,$699,https://www.jetblue.com/booking/cb-flights?from=AUA&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 592,AUS,BOS,09/16/2025 12:33pm,09/16/2025 6:11pm,278,$119,https://www.jetblue.com/booking/cb-flights?from=AUS&to=BOS&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 204,BDA,BOS,09/16/2025 1:45pm,09/16/2025 3:38pm,173,$340,https://www.jetblue.com/booking/cb-flights?from=BDA&to=BOS&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 959,BDL,FLL,09/16/2025 7:00am,09/16/2025 10:08am,188,$89,https://www.jetblue.com/booking/cb-flights?from=BDL&to=FLL&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,737.0
B6 737,BDL,FLL,09/16/2025 9:23am,09/16/2025 6:15pm,532,$206,https://www.jetblue.com/booking/cb-flights?from=BDL&to=FLL&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,737.0
