Flight Number,Origin,Destination,Departure Datetime,Arrival Datetime,Elapsed Minutes,Cheapest Price,Search URL,Error Status,Equipment
B6 66,ABQ,JFK,10/01/2025 11:59pm,10/01/2025 6:16am,257,$136,https://www.jetblue.com/booking/cb-flights?from=ABQ&to=JFK&depart=10%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1151,ACK,BOS,10/01/2025 12:29pm,10/01/2025 1:17pm,60,$74,https://www.jetblue.com/booking/cb-flights?from=ACK&to=BOS&depart=10%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2665,ACK,HPN,10/01/2025 2:16pm,10/01/2025 3:20pm,64,$94,https://www.jetblue.com/booking/cb-flights?from=ACK&to=HPN&depart=10%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 92,ACK,JFK,10/01/2025 3:42pm,10/01/2025 5:00pm,78,$99,https://www.jetblue.com/booking/cb-flights?from=ACK&to=JFK&depart=10%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 32,AMS,BOS,10/01/2025 11:20am,10/01/2025 1:35pm,495,$714,https://www.jetblue.com/booking/cb-flights?from=AMS&to=BOS&depart=10%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2289,AMS,JFK,10/01/2025 1:40pm,10/01/2025 4:09pm,509,$774,https://www.jetblue.com/booking/cb-flights?from=AMS&to=JFK&depart=10%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 676,BDL,JFK,10/01/2025 7:15am,10/01/2025 8:04am,49,$59,https://www.jetblue.com/booking/cb-flights?from=BDL&to=JFK&depart=10%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 737,BDL,MCO,10/01/2025 9:23am,10/01/2025 12:20pm,177,$294,https://www.jetblue.com/booking/cb-flights?from=BDL&to=MCO&depart=10%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,737.0
B6 1241,BDL,PBI,10/01/2025 8:30am,10/01/2025 11:29am,179,$284,https://www.jetblue.com/booking/cb-flights?from=BDL&to=PBI&depart=10%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1475,BDL,SJU,10/01/2025 8:15am,10/01/2025 12:04pm,229,$275,https://www.jetblue.com/booking/cb-flights?from=BDL&to=SJU&depart=10%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,737.0
B6 533,BDL,TPA,10/01/2025 3:20pm,10/01/2025 6:20pm,180,$64,https://www.jetblue.com/booking/cb-flights?from=BDL&to=TPA&depart=10%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 662,BGI,JFK,10/01/2025 3:23pm,10/01/2025 8:30pm,307,$277,https://www.jetblue.com/booking/cb-flights?from=BGI&to=JFK&depart=10%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1806,BNA,BOS,10/01/2025 10:45am,10/01/2025 2:27pm,162,$139,https://www.jetblue.com/booking/cb-flights?from=BNA&to=BOS&depart=10%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1306,BNA,BOS,10/01/2025 3:08pm,10/01/2025 7:11pm,183,$84,https://www.jetblue.com/booking/cb-flights?from=BNA&to=BOS&depart=10%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 506,BNA,BOS,10/01/2025 7:35pm,10/01/2025 11:12pm,157,$69,https://www.jetblue.com/booking/cb-flights?from=BNA&to=BOS&depart=10%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1074,BNA,JFK,10/01/2025 7:08am,10/01/2025 10:29am,141,$64,https://www.jetblue.com/booking/cb-flights?from=BNA&to=JFK&depart=10%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
