Origin,Destination,Departure Date,Flight Number,Departure Time,Arrival Time,Duration,Price,Stops,Route Type
B6 394,DEN,BOS,09/09/2025 2:10pm,09/09/2025 8:29pm,259,$99,https://www.jetblue.com/booking/flights?from=DEN&to=BOS&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1347,DCA,SJU,09/09/2025 8:25am,09/09/2025 12:15pm,230,$99,https://www.jetblue.com/booking/flights?from=DCA&to=SJU&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 23,DCA,PBI,09/09/2025 6:58pm,09/09/2025 9:23pm,145,$79,https://www.jetblue.com/booking/flights?from=DCA&to=PBI&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 254,DCA,JFK,09/09/2025 6:19am,09/09/2025 7:30am,71,$59,https://www.jetblue.com/booking/flights?from=DCA&to=JFK&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1254,DCA,JFK,09/09/2025 5:42pm,09/09/2025 6:59pm,77,$59,https://www.jetblue.com/booking/flights?from=DCA&to=JFK&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1553,FLL,SJU,09/09/2025 11:10am,09/09/2025 1:54pm,164,$135,https://www.jetblue.com/booking/flights?from=FLL&to=SJU&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1453,FLL,SJU,09/09/2025 5:40pm,09/09/2025 8:20pm,160,$135,https://www.jetblue.com/booking/flights?from=FLL&to=SJU&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1419,DTW,JFK,09/09/2025 6:12am,09/09/2025 7:59am,107,$64,https://www.jetblue.com/booking/flights?from=DTW&to=JFK&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 193,EWR,STI,09/09/2025 5:55pm,09/09/2025 9:45pm,230,$159,https://www.jetblue.com/booking/flights?from=EWR&to=STI&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1923,DCA,MCO,09/09/2025 10:05am,09/09/2025 12:31pm,146,$64,https://www.jetblue.com/booking/flights?from=DCA&to=MCO&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2423,DCA,MCO,09/09/2025 4:00pm,09/09/2025 6:25pm,145,$64,https://www.jetblue.com/booking/flights?from=DCA&to=MCO&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2795,FLL,CUN,09/09/2025 11:00am,09/09/2025 11:56am,116,$114,https://www.jetblue.com/booking/flights?from=FLL&to=CUN&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
